"course","title"
"http://is-concordia.io/ENGL802","Professional Development Workshops"
"http://is-concordia.io/CHEM325","Organic Chemistry IV: Organic Structure and Stereochemistry"
"http://is-concordia.io/BIOL516","Project in Biotechnology and Genomics"
"http://is-concordia.io/DANC401","Creative Process III"
"http://is-concordia.io/MANA362","Human Resource Management"
"http://is-concordia.io/AHSC498","Leadership,
 Change &
 Social
 Innovation"
"http://is-concordia.io/INDU423","Inventory Control"
"http://is-concordia.io/DFTT211","Drawing for the Theatre"
"http://is-concordia.io/ACCO655","Taxation and Decision-Making"
"http://is-concordia.io/GIIM637","Strategic Management"
"http://is-concordia.io/MARK462","Environment of World Business"
"http://is-concordia.io/MECH6781","Guided Vehicle Systems"
"http://is-concordia.io/ENGL227","Introductory Creative Writing: Playwriting"
"http://is-concordia.io/APLI610","Teaching and Learning Second Language Vocabulary"
"http://is-concordia.io/MBA649","Strategic Managerial Accounting and Control"
"http://is-concordia.io/MECH211","Mechanical Engineering Drawing"
"http://is-concordia.io/DRAW312","Drawing and Knowledge I"
"http://is-concordia.io/PSYC709","APC Practicum II: Adult"
"http://is-concordia.io/PHYS289","Honours Research Experience I"
"http://is-concordia.io/SCOM374","Supply Chain Logistics"
"http://is-concordia.io/POLI687/812","IPSA-Concordia Summer School in Applied Diplomacy"
"http://is-concordia.io/COMP6311","Animation for Computer Games"
"http://is-concordia.io/COEN317","Microprocessor Systems"
"http://is-concordia.io/IADI401","Undergraduate Aerospace Industry Project II"
"http://is-concordia.io/FBRS361","Intermediate Textile Printing and Dyeing"
"http://is-concordia.io/APLI634","Cross-linguistic Influence"
"http://is-concordia.io/ENCS485","Rwanda Field School in Engineering and Sustainable Development"
"http://is-concordia.io/MATH387","Mathematics Lab III"
"http://is-concordia.io/HIST390","Urban History Laboratory"
"http://is-concordia.io/FTRA614","Traduction littéraire avancée
Co-listé : FTRA 544 ou 545"
"http://is-concordia.io/STAT461","Statistical Simulation"
"http://is-concordia.io/MECH6651","Structural Composite"
"http://is-concordia.io/AHSC530","Community Youth Development"
"http://is-concordia.io/FLIT498","Étude d’un sujet particulier"
"http://is-concordia.io/JPER423","Big Band III"
"http://is-concordia.io/DFTT212","Introduction to Elements of Production"
"http://is-concordia.io/AHSC432","Seminar in Therapeutic Recreation"
"http://is-concordia.io/COMM499","Seminar Course: Business Case Writing"
"http://is-concordia.io/COMM499","Case Competition in Marketing (Seminar)"
"http://is-concordia.io/ELEC6281","Principles of Solid State Nanodevices"
"http://is-concordia.io/CIVI6051","Design of Industrial Structures"
"http://is-concordia.io/INSE6630","Recent Developments in Information Systems Security"
"http://is-concordia.io/BIOL524","High-throughput Instrumentation"
"http://is-concordia.io/FBRS398","Special Topics in Fibres and Material Practices"
"http://is-concordia.io/PHYS224","Introductory Experimental Mechanics"
"http://is-concordia.io/BIOL450","Techniques in Ecology"
"http://is-concordia.io/MACF401","Mathematical and Computational Finance I"
"http://is-concordia.io/AHSC443","Community Development I"
"http://is-concordia.io/ECON318","Canadian Economic Policy and Institutions"
"http://is-concordia.io/CERA399","Special Topics in Ceramics"
"http://is-concordia.io/PERC398","Special Topics in Performance Creation"
"http://is-concordia.io/AERO480","Flight Control Systems"
"http://is-concordia.io/PHYS497","Specialization Research Project (3 cr)"
"http://is-concordia.io/PTNG418","Between the Wall and the Viewer"
"http://is-concordia.io/MECH6521","Manufacturing of Composites"
"http://is-concordia.io/WSDB391","Health Issues: Feminist Perspectives"
"http://is-concordia.io/CHEM341","Inorganic Chemistry III: The Transition Metals"
"http://is-concordia.io/PTNG312","Body, Representation and Information I"
"http://is-concordia.io/ENVS664","Field Course in EA"
"http://is-concordia.io/INSE6190","Wireless Network Security"
"http://is-concordia.io/DRAW412","Drawing and Knowledge II"
"http://is-concordia.io/MARA250","Intermediate Modern Standard Arabic I"
"http://is-concordia.io/FINA395","Theory of Finance II"
"http://is-concordia.io/ENGR8911","Doctoral Research and Thesis"
"http://is-concordia.io/ELEC367","Introduction to Digital Communications"
"http://is-concordia.io/BIOL382","Comparative Animal Physiology"
"http://is-concordia.io/MUSI481","Supervised Internship I"
"http://is-concordia.io/FINA410","Investment Analysis"
"http://is-concordia.io/MECH6431","Introduction to Tribology (Wear, Friction and Lubrication)"
"http://is-concordia.io/INSE6110","Foundations of Cryptography"
"http://is-concordia.io/EDUC463","Child Studies Seminar: Inclusive Practices in Childhood Settings"
